Codigo_Unico;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;nombre_establecimiento;Direccion;Categoria;Competencia_Via;Competencia Administrativa;Siniestros_fatales
3568;50105;AYACUCHO;HUAMANGA;CHIARA;-13.46444427;-74.10025174;PUESTO DE SALUD SACHABAMBA;PLAZA PLAZA PRINCIPAL S/N NUMERO S/N DISTRITO CHIARA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
3595;50108;AYACUCHO;HUAMANGA;QUINUA;-13.04955333;-74.140475;CENTRO DE SALUD QUINUA;JR. BOLIVAR S/N NUMERO S/N DISTRITO QUINUA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-3;PROVINCIAL;DISTRITAL;0
3596;50108;AYACUCHO;HUAMANGA;QUINUA;-13.05389879;-74.16858016;PUESTO DE SALUD LLAMAHUILLCA;OTROS COMUNIDAD DE LLAMAHUILLCA DISTRITO QUINUA PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
2922;230101;TACNA;TACNA;TACNA;-18.06886603;-70.29363645;PUESTO DE SALUD HABITAT;CALLE CIUDAD DE DIOS  CALLE LOS PALTOS S/N  OU S/N CIUDAD DE DIOS  CALLE LOS PALTOS S/N  OU TACNA TACNA TACNA;I-2;DISTRITAL;PROVINCIAL;0
3604;50113;AYACUCHO;HUAMANGA;TAMBILLO;-13.16080108;-74.17011962;PUESTO DE SALUD HUAYHUACONDO;OTROS COMUNIDAD GUAYACONDO DISTRITO TAMBILLO PROVINCIA HUAMANGA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
2819;180301;MOQUEGUA;ILO;ILO;-17.65185454;-71.34179435;C.S. ALTO ILO;OTROS CHALACA S/N ALTO ILO NUMERO S/N DISTRITO ILO PROVINCIA ILO DEPARTAMENTO MOQUEGUA;I-3;DISTRITAL;PROVINCIAL;0
11421;100101;HUANUCO;HUANUCO;HUANUCO;-9.9202368;-76.2395784;POLICLINICO POLICIAL HUAÄNUCO;JR. LEONCIO PRADO NRO 1840 DISTRITO HUANUCO PROVINCIA HUANUCO DEPARTAMENTO HUANUCO;I-3;DISTRITAL;PROVINCIAL;0
1321;40119;AREQUIPA;AREQUIPA;SAN JUAN DE TARUCANI;-16.32152491;-71.15115141;PUESTO DE SALUD SALINAS HUITO;PLAZA PLAZA PRINCIPAL S/N SALINAS HUITO S/N PLAZA PRINCIPAL S/N SALINAS HUITO SAN JUAN DE TARUCANI AREQUIPA AREQUIPA;I-1;PROVINCIAL;DISTRITAL;0
1328;40108;AREQUIPA;AREQUIPA;LA JOYA;-16.48952679;-71.81430494;PUESTO DE SALUD LOS MEDANOS;OTROS PPJJ LOS MEDANOS FRENTE A LA CANCHA DISTRITO LA JOYA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA;I-1;PROVINCIAL;DISTRITAL;0
3776;50408;AYACUCHO;HUANTA;LLOCHEGUA;-12.40054333;-73.91158833;PUESTO DE SALUD PUERTO AMARGURA;CALLE CALLE PRINCIPAL PUERTO AMARGURA DISTRITO LLOCHEGUA PROVINCIA HUANTA DEPARTAMENTO AYACUCHO;I-1;PROVINCIAL;DISTRITAL;0
4377;140312;LAMBAYEQUE;LAMBAYEQUE;TUCUME;-6.47903;-79.87862667;PUESTO DE SALUD CHIRIMOYO;OTROS SECTOR CHIRIMOYO BAJO S/N NUMERO S/N DISTRITO ILLIMO PROVINCIA LAMBAYEQUE DEPARTAMENTO LAMBAYEQUE;I-2;PROVINCIAL;DISTRITAL;0
5990;150108;LIMA;LIMA;CHORRILLOS;-12.1692159;-77.0240399;CENTRO DE SALUD GUSTAVO LANATTA LUJAN;AVENIDA AV. DEFENSORES DEL MORRO (EX HUAYLAS) N∫556 AV. DEFENSORES DEL MORRO (EX HUAYLAS) N∫556 CHORRILLOS LIMA LIMA;I-3;PROVINCIAL;DISTRITAL;1
6251;70104;CALLAO;CALLAO;LA PERLA;-12.06920504;-77.12476464;PUESTO DE SALUD  LA PERLA;OTROS ALFONSO UGARTE N∫ 1150 ALFONSO UGARTE N∫ 1150 LA PERLA CALLAO CALLAO;I-2;PROVINCIAL;DISTRITAL;0
