ID_INT;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD;Vias;TIPO_REDVIAL;Competencia_Via;Competencia_Administrativa;Siniestro_fatal
I-12344;080901;CUSCO;LA CONVENCION;SANTA ANA;-12.8627113;-72.69256569;Jirón Martin Pio Concha / Jirón Independencia;LOCAL;DISTRITAL;PROVINCIAL;0
I-49883;010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-6.22997;-77.8753642;Jirón Puno / Jirón Amazonas;LOCAL;DISTRITAL;PROVINCIAL;0
I-52417;220901;SAN MARTIN;SAN MARTIN;TARAPOTO;-6.482555415;-76.36530484;Jirón San Martín / Jirón Comandante Chirinos;LOCAL;DISTRITAL;PROVINCIAL;0
I-52850;220910;SAN MARTIN;SAN MARTIN;MORALES;-6.48495498;-76.3852716;Jirón José Gálvez / Jirón Santa Inés;LOCAL;DISTRITAL;DISTRITAL;0
I-344394;021601;ANCASH;POMABAMBA;POMABAMBA;-8.8193111;-77.4609481;Jirón Arica / Jirón Huamachuco;VECINAL;PROVINCIAL;PROVINCIAL;0
I-100911;150143;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;-12.1430927;-76.9539633;Avenida Guardia Civil / Avenida Simón Bolívar;LOCAL;DISTRITAL;DISTRITAL;1
I-101897;150137;LIMA;LIMA;SANTA ANITA;-12.0420571;-76.9786085;Avenida José Carlos Mariátegui / Jirón Luis de la Puente Uceda;LOCAL;DISTRITAL;DISTRITAL;1
I-155686;150123;LIMA;LIMA;PACHACAMAC;-12.1158919;-76.8732456;Avenida Víctor Malásquez / Calle s / n;METROPOLITANA;PROVINCIAL;DISTRITAL;1
I-156310;150118;LIMA;LIMA;LURIGANCHO;-11.9694561;-76.937414;Avenida Unión Jicamarca / Calle Bolognesi;METROPOLITANA;PROVINCIAL;DISTRITAL;1
I-16168;140106;LAMBAYEQUE;CHICLAYO;LA VICTORIA;-6.8216999;-79.8550922;Carretera Monsefú - Chiclayo / LA-784;VECINAL;PROVINCIAL;DISTRITAL;1
I-167618;130702;LA LIBERTAD;PACASMAYO;GUADALUPE;-7.2469025;-79.4630359;Jirón San Eugenio / Prolongación Jirón Ayacucho;VECINAL;PROVINCIAL;DISTRITAL;1
I-10671;150115;LIMA;LIMA;LA VICTORIA;-12.0609877;-77.0230539;Avenida García Naranjo / Jirón Abtao / Jirón García Naranjo;LOCAL;DISTRITAL;DISTRITAL;1
I-167635;130702;LA LIBERTAD;PACASMAYO;GUADALUPE;-7.2380262;-79.4686133;Avenida Manuel Seoane / Calle Manuel Escorza;VECINAL;PROVINCIAL;DISTRITAL;1
I-167647;130702;LA LIBERTAD;PACASMAYO;GUADALUPE;-7.2378057;-79.4688938;Avenida Manuel Seoane / Jirón Unión;VECINAL;PROVINCIAL;DISTRITAL;1
I-109539;150110;LIMA;LIMA;COMAS;-11.9217391;-77.0353501;Avenida Almirante Miguel Grau / Jirón Adolfo Viera;LOCAL;DISTRITAL;DISTRITAL;1
I-167648;130702;LA LIBERTAD;PACASMAYO;GUADALUPE;-7.2396372;-79.4648916;Avenida Manuel Seoane / Calle Francisco Bolognesi;VECINAL;PROVINCIAL;DISTRITAL;1
I-167654;130702;LA LIBERTAD;PACASMAYO;GUADALUPE;-7.2387432;-79.4677073;Avenida Manuel Seoane / Jirón Justo Albújar;VECINAL;PROVINCIAL;DISTRITAL;1
I-11059;160101;LORETO;MAYNAS;IQUITOS;-3.742052;-73.24867;Jirón Tnte Pinglo / Jirón Loreto;LOCAL;DISTRITAL;PROVINCIAL;0
I-11111;160101;LORETO;MAYNAS;IQUITOS;-3.743895;-73.246366;Jirón Callao / Jirón Loreto;LOCAL;DISTRITAL;PROVINCIAL;0
I-111718;211105;PUNO;SAN ROMAN;SAN MIGUEL;-15.4719638;-70.1231943;Avenida Asunción / Infancia / Jirón Manuel Asencio Segura;LOCAL;DISTRITAL;DISTRITAL;1
I-112015;130104;LA LIBERTAD;TRUJILLO;HUANCHACO;-8.0242201;-79.0645712;Avenida Miguel Grau / Calle s / n;LOCAL;DISTRITAL;DISTRITAL;1
I-112326;140105;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;-6.754635;-79.8478103;Avenida México / San Pedro;LOCAL;DISTRITAL;DISTRITAL;1
I-172771;150119;LIMA;LIMA;LURIN;-12.2964243;-76.8509571;Jirón 7 de Junio / Calle s / n;VECINAL;PROVINCIAL;DISTRITAL;1
I-62755;110102;ICA;ICA;LA TINGUIÑA;-14.040161;-75.706799;Calle Caracas / Calle 3 de Octubre;VECINAL;PROVINCIAL;DISTRITAL;0
I-182546;130701;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;-7.4240744;-79.5033121;Avenida Centenario / Jirón Manuel Herrera;VECINAL;PROVINCIAL;PROVINCIAL;2
