ubigeo_gestor,archivo_rel,n_filas
010101,Intersecciones\excels\AMAZONAS-CHACHAPOYAS-CHACHAPOYAS.xlsx,7
020601,Intersecciones\excels\ANCASH-CARHUAZ-CARHUAZ.xlsx,32
020606,Intersecciones\excels\ANCASH-CARHUAZ-MARCARA.xlsx,16
021601,Intersecciones\excels\ANCASH-POMABAMBA-POMABAMBA.xlsx,25
021801,Intersecciones\excels\ANCASH-SANTA-CHIMBOTE.xlsx,16
021803,Intersecciones\excels\ANCASH-SANTA-COISHCO.xlsx,24
021809,Intersecciones\excels\ANCASH-SANTA-NUEVO_CHIMBOTE.xlsx,10
030201,Intersecciones\excels\APURIMAC-ANDAHUAYLAS-ANDAHUAYLAS.xlsx,17
030213,Intersecciones\excels\APURIMAC-ANDAHUAYLAS-SAN_JERONIMO.xlsx,26
030601,Intersecciones\excels\APURIMAC-CHINCHEROS-CHINCHEROS.xlsx,29
030602,Intersecciones\excels\APURIMAC-CHINCHEROS-ANCO_HUALLO.xlsx,17
040101,Intersecciones\excels\AREQUIPA-AREQUIPA-AREQUIPA.xlsx,40
040102,Intersecciones\excels\AREQUIPA-AREQUIPA-ALTO_SELVA_ALEGRE.xlsx,25
040103,Intersecciones\excels\AREQUIPA-AREQUIPA-CAYMA.xlsx,11
040104,Intersecciones\excels\AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,10
040105,Intersecciones\excels\AREQUIPA-AREQUIPA-CHARACATO.xlsx,26
040107,Intersecciones\excels\AREQUIPA-AREQUIPA-JACOBO_HUNTER.xlsx,8
040108,Intersecciones\excels\AREQUIPA-AREQUIPA-LA_JOYA.xlsx,9
040109,Intersecciones\excels\AREQUIPA-AREQUIPA-MARIANO_MELGAR.xlsx,8
040110,Intersecciones\excels\AREQUIPA-AREQUIPA-MIRAFLORES.xlsx,8
040112,Intersecciones\excels\AREQUIPA-AREQUIPA-PAUCARPATA.xlsx,9
040117,Intersecciones\excels\AREQUIPA-AREQUIPA-SACHACA.xlsx,26
040122,Intersecciones\excels\AREQUIPA-AREQUIPA-SOCABAYA.xlsx,9
040126,Intersecciones\excels\AREQUIPA-AREQUIPA-YANAHUARA.xlsx,15
040128,Intersecciones\excels\AREQUIPA-AREQUIPA-YURA.xlsx,8
040129,Intersecciones\excels\AREQUIPA-AREQUIPA-JOSE_LUIS_BUSTAMANTE_Y_RIVERO.xlsx,14
040208,Intersecciones\excels\AREQUIPA-CAMANA-SAMUEL_PASTOR.xlsx,25
040520,Intersecciones\excels\AREQUIPA-CAYLLOMA-MAJES.xlsx,10
040701,Intersecciones\excels\AREQUIPA-ISLAY-MOLLENDO.xlsx,38
040702,Intersecciones\excels\AREQUIPA-ISLAY-COCACHACRA.xlsx,23
050101,Intersecciones\excels\AYACUCHO-HUAMANGA-AYACUCHO.xlsx,16
050104,Intersecciones\excels\AYACUCHO-HUAMANGA-CARMEN_ALTO.xlsx,15
050110,Intersecciones\excels\AYACUCHO-HUAMANGA-SAN_JUAN_BAUTISTA.xlsx,10
050116,Intersecciones\excels\AYACUCHO-HUAMANGA-ANDRES_AVELINO_CACERES_DORREGARAY.xlsx,38
