ubigeo_gestor,archivo_abs,archivo_rel,n_colegios
020601,D:\GITHUB\PI2026\Mantenimiento\excels\ANCASH-CARHUAZ-CARHUAZ.xlsx,Mantenimiento\excels\ANCASH-CARHUAZ-CARHUAZ.xlsx,7
040101,D:\GITHUB\PI2026\Mantenimiento\excels\AREQUIPA-AREQUIPA-AREQUIPA.xlsx,Mantenimiento\excels\AREQUIPA-AREQUIPA-AREQUIPA.xlsx,3
040104,D:\GITHUB\PI2026\Mantenimiento\excels\AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,Mantenimiento\excels\AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,12
040520,D:\GITHUB\PI2026\Mantenimiento\excels\AREQUIPA-CAYLLOMA-MAJES.xlsx,Mantenimiento\excels\AREQUIPA-CAYLLOMA-MAJES.xlsx,20
060801,D:\GITHUB\PI2026\Mantenimiento\excels\CAJAMARCA-JAEN-JAEN.xlsx,Mantenimiento\excels\CAJAMARCA-JAEN-JAEN.xlsx,18
061001,D:\GITHUB\PI2026\Mantenimiento\excels\CAJAMARCA-SAN_MARCOS-PEDRO_GALVEZ.xlsx,Mantenimiento\excels\CAJAMARCA-SAN_MARCOS-PEDRO_GALVEZ.xlsx,9
070101,D:\GITHUB\PI2026\Mantenimiento\excels\CALLAO-CALLAO-CALLAO.xlsx,Mantenimiento\excels\CALLAO-CALLAO-CALLAO.xlsx,22
070106,D:\GITHUB\PI2026\Mantenimiento\excels\CALLAO-CALLAO-VENTANILLA.xlsx,Mantenimiento\excels\CALLAO-CALLAO-VENTANILLA.xlsx,21
080101,D:\GITHUB\PI2026\Mantenimiento\excels\CUSCO-CUSCO-CUSCO.xlsx,Mantenimiento\excels\CUSCO-CUSCO-CUSCO.xlsx,12
080104,D:\GITHUB\PI2026\Mantenimiento\excels\CUSCO-CUSCO-SAN_JERONIMO.xlsx,Mantenimiento\excels\CUSCO-CUSCO-SAN_JERONIMO.xlsx,10
100101,D:\GITHUB\PI2026\Mantenimiento\excels\HUANUCO-HUANUCO-HUANUCO.xlsx,Mantenimiento\excels\HUANUCO-HUANUCO-HUANUCO.xlsx,9
110101,D:\GITHUB\PI2026\Mantenimiento\excels\ICA-ICA-ICA.xlsx,Mantenimiento\excels\ICA-ICA-ICA.xlsx,10
110111,D:\GITHUB\PI2026\Mantenimiento\excels\ICA-ICA-SANTIAGO.xlsx,Mantenimiento\excels\ICA-ICA-SANTIAGO.xlsx,1
120101,D:\GITHUB\PI2026\Mantenimiento\excels\JUNIN-HUANCAYO-HUANCAYO.xlsx,Mantenimiento\excels\JUNIN-HUANCAYO-HUANCAYO.xlsx,7
120107,D:\GITHUB\PI2026\Mantenimiento\excels\JUNIN-HUANCAYO-CHILCA.xlsx,Mantenimiento\excels\JUNIN-HUANCAYO-CHILCA.xlsx,12
120601,D:\GITHUB\PI2026\Mantenimiento\excels\JUNIN-SATIPO-SATIPO.xlsx,Mantenimiento\excels\JUNIN-SATIPO-SATIPO.xlsx,13
130101,D:\GITHUB\PI2026\Mantenimiento\excels\LA_LIBERTAD-TRUJILLO-TRUJILLO.xlsx,Mantenimiento\excels\LA_LIBERTAD-TRUJILLO-TRUJILLO.xlsx,10
130105,D:\GITHUB\PI2026\Mantenimiento\excels\LA_LIBERTAD-TRUJILLO-LA_ESPERANZA.xlsx,Mantenimiento\excels\LA_LIBERTAD-TRUJILLO-LA_ESPERANZA.xlsx,12
130401,D:\GITHUB\PI2026\Mantenimiento\excels\LA_LIBERTAD-CHEPEN-CHEPEN.xlsx,Mantenimiento\excels\LA_LIBERTAD-CHEPEN-CHEPEN.xlsx,4
131201,D:\GITHUB\PI2026\Mantenimiento\excels\LA_LIBERTAD-VIRU-VIRU.xlsx,Mantenimiento\excels\LA_LIBERTAD-VIRU-VIRU.xlsx,8
140101,D:\GITHUB\PI2026\Mantenimiento\excels\LAMBAYEQUE-CHICLAYO-CHICLAYO.xlsx,Mantenimiento\excels\LAMBAYEQUE-CHICLAYO-CHICLAYO.xlsx,11
140106,D:\GITHUB\PI2026\Mantenimiento\excels\LAMBAYEQUE-CHICLAYO-LA_VICTORIA.xlsx,Mantenimiento\excels\LAMBAYEQUE-CHICLAYO-LA_VICTORIA.xlsx,14
150101,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-LIMA.xlsx,Mantenimiento\excels\LIMA-LIMA-LIMA.xlsx,23
150103,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-ATE.xlsx,Mantenimiento\excels\LIMA-LIMA-ATE.xlsx,17
150106,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-CARABAYLLO.xlsx,Mantenimiento\excels\LIMA-LIMA-CARABAYLLO.xlsx,7
150108,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-CHORRILLOS.xlsx,Mantenimiento\excels\LIMA-LIMA-CHORRILLOS.xlsx,11
150110,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-COMAS.xlsx,Mantenimiento\excels\LIMA-LIMA-COMAS.xlsx,27
150111,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-EL_AGUSTINO.xlsx,Mantenimiento\excels\LIMA-LIMA-EL_AGUSTINO.xlsx,11
150112,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-INDEPENDENCIA.xlsx,Mantenimiento\excels\LIMA-LIMA-INDEPENDENCIA.xlsx,7
150114,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-LA_MOLINA.xlsx,Mantenimiento\excels\LIMA-LIMA-LA_MOLINA.xlsx,19
150115,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-LA_VICTORIA.xlsx,Mantenimiento\excels\LIMA-LIMA-LA_VICTORIA.xlsx,11
150116,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-LINCE.xlsx,Mantenimiento\excels\LIMA-LIMA-LINCE.xlsx,11
150117,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-LOS_OLIVOS.xlsx,Mantenimiento\excels\LIMA-LIMA-LOS_OLIVOS.xlsx,25
150118,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-LURIGANCHO.xlsx,Mantenimiento\excels\LIMA-LIMA-LURIGANCHO.xlsx,11
150123,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-PACHACAMAC.xlsx,Mantenimiento\excels\LIMA-LIMA-PACHACAMAC.xlsx,24
150125,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-PUENTE_PIEDRA.xlsx,Mantenimiento\excels\LIMA-LIMA-PUENTE_PIEDRA.xlsx,28
150128,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-RIMAC.xlsx,Mantenimiento\excels\LIMA-LIMA-RIMAC.xlsx,16
150132,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-SAN_JUAN_DE_LURIGANCHO.xlsx,Mantenimiento\excels\LIMA-LIMA-SAN_JUAN_DE_LURIGANCHO.xlsx,42
150133,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-SAN_JUAN_DE_MIRAFLORES.xlsx,Mantenimiento\excels\LIMA-LIMA-SAN_JUAN_DE_MIRAFLORES.xlsx,26
150135,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-SAN_MARTIN_DE_PORRES.xlsx,Mantenimiento\excels\LIMA-LIMA-SAN_MARTIN_DE_PORRES.xlsx,14
150136,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-SAN_MIGUEL.xlsx,Mantenimiento\excels\LIMA-LIMA-SAN_MIGUEL.xlsx,8
150140,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-SANTIAGO_DE_SURCO.xlsx,Mantenimiento\excels\LIMA-LIMA-SANTIAGO_DE_SURCO.xlsx,9
150142,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-VILLA_EL_SALVADOR.xlsx,Mantenimiento\excels\LIMA-LIMA-VILLA_EL_SALVADOR.xlsx,45
150143,D:\GITHUB\PI2026\Mantenimiento\excels\LIMA-LIMA-VILLA_MARIA_DEL_TRIUNFO.xlsx,Mantenimiento\excels\LIMA-LIMA-VILLA_MARIA_DEL_TRIUNFO.xlsx,14
160101,D:\GITHUB\PI2026\Mantenimiento\excels\LORETO-MAYNAS-IQUITOS.xlsx,Mantenimiento\excels\LORETO-MAYNAS-IQUITOS.xlsx,24
160113,D:\GITHUB\PI2026\Mantenimiento\excels\LORETO-MAYNAS-SAN_JUAN_BAUTISTA.xlsx,Mantenimiento\excels\LORETO-MAYNAS-SAN_JUAN_BAUTISTA.xlsx,18
170101,D:\GITHUB\PI2026\Mantenimiento\excels\MADRE_DE_DIOS-TAMBOPATA-TAMBOPATA.xlsx,Mantenimiento\excels\MADRE_DE_DIOS-TAMBOPATA-TAMBOPATA.xlsx,8
200101,D:\GITHUB\PI2026\Mantenimiento\excels\PIURA-PIURA-PIURA.xlsx,Mantenimiento\excels\PIURA-PIURA-PIURA.xlsx,27
200104,D:\GITHUB\PI2026\Mantenimiento\excels\PIURA-PIURA-CASTILLA.xlsx,Mantenimiento\excels\PIURA-PIURA-CASTILLA.xlsx,6
200110,D:\GITHUB\PI2026\Mantenimiento\excels\PIURA-PIURA-LA_UNION.xlsx,Mantenimiento\excels\PIURA-PIURA-LA_UNION.xlsx,8
200601,D:\GITHUB\PI2026\Mantenimiento\excels\PIURA-SULLANA-SULLANA.xlsx,Mantenimiento\excels\PIURA-SULLANA-SULLANA.xlsx,7
211101,D:\GITHUB\PI2026\Mantenimiento\excels\PUNO-SAN_ROMAN-JULIACA.xlsx,Mantenimiento\excels\PUNO-SAN_ROMAN-JULIACA.xlsx,21
230110,D:\GITHUB\PI2026\Mantenimiento\excels\TACNA-TACNA-CORONEL_GREGORIO_ALBARRACIN_LANCHIPA.xlsx,Mantenimiento\excels\TACNA-TACNA-CORONEL_GREGORIO_ALBARRACIN_LANCHIPA.xlsx,11
