ubigeo_gestor,archivo,n_filas
020601,ANCASH-CARHUAZ-CARHUAZ.xlsx,7
040101,AREQUIPA-AREQUIPA-AREQUIPA.xlsx,3
040104,AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,12
040520,AREQUIPA-CAYLLOMA-MAJES.xlsx,20
060801,CAJAMARCA-JAEN-JAEN.xlsx,18
061001,CAJAMARCA-SAN_MARCOS-PEDRO_GALVEZ.xlsx,9
070101,CALLAO-CALLAO-CALLAO.xlsx,22
070106,CALLAO-CALLAO-VENTANILLA.xlsx,16
080101,CUSCO-CUSCO-CUSCO.xlsx,12
080104,CUSCO-CUSCO-SAN_JERONIMO.xlsx,9
100101,HUANUCO-HUANUCO-HUANUCO.xlsx,9
110111,ICA-ICA-SANTIAGO.xlsx,1
120101,JUNIN-HUANCAYO-HUANCAYO.xlsx,7
120107,JUNIN-HUANCAYO-CHILCA.xlsx,12
120601,JUNIN-SATIPO-SATIPO.xlsx,13
130101,LA_LIBERTAD-TRUJILLO-TRUJILLO.xlsx,8
130105,LA_LIBERTAD-TRUJILLO-LA_ESPERANZA.xlsx,11
130401,LA_LIBERTAD-CHEPEN-CHEPEN.xlsx,4
131201,LA_LIBERTAD-VIRU-VIRU.xlsx,8
140101,LAMBAYEQUE-CHICLAYO-CHICLAYO.xlsx,11
140106,LAMBAYEQUE-CHICLAYO-LA_VICTORIA.xlsx,14
150101,LIMA-LIMA-LIMA.xlsx,23
150103,LIMA-LIMA-ATE.xlsx,17
150106,LIMA-LIMA-CARABAYLLO.xlsx,7
150108,LIMA-LIMA-CHORRILLOS.xlsx,11
150110,LIMA-LIMA-COMAS.xlsx,27
150111,LIMA-LIMA-EL_AGUSTINO.xlsx,11
150112,LIMA-LIMA-INDEPENDENCIA.xlsx,7
150114,LIMA-LIMA-LA_MOLINA.xlsx,19
150115,LIMA-LIMA-LA_VICTORIA.xlsx,11
150116,LIMA-LIMA-LINCE.xlsx,11
150117,LIMA-LIMA-LOS_OLIVOS.xlsx,25
150118,LIMA-LIMA-LURIGANCHO.xlsx,11
150123,LIMA-LIMA-PACHACAMAC.xlsx,24
150125,LIMA-LIMA-PUENTE_PIEDRA.xlsx,28
150128,LIMA-LIMA-RIMAC.xlsx,16
150132,LIMA-LIMA-SAN_JUAN_DE_LURIGANCHO.xlsx,42
150133,LIMA-LIMA-SAN_JUAN_DE_MIRAFLORES.xlsx,24
150135,LIMA-LIMA-SAN_MARTIN_DE_PORRES.xlsx,14
150136,LIMA-LIMA-SAN_MIGUEL.xlsx,8
150140,LIMA-LIMA-SANTIAGO_DE_SURCO.xlsx,9
150142,LIMA-LIMA-VILLA_EL_SALVADOR.xlsx,44
150143,LIMA-LIMA-VILLA_MARIA_DEL_TRIUNFO.xlsx,14
160101,LORETO-MAYNAS-IQUITOS.xlsx,16
160113,LORETO-MAYNAS-SAN_JUAN_BAUTISTA.xlsx,18
170101,MADRE_DE_DIOS-TAMBOPATA-TAMBOPATA.xlsx,8
200101,PIURA-PIURA-PIURA.xlsx,27
200104,PIURA-PIURA-CASTILLA.xlsx,6
200110,PIURA-PIURA-LA_UNION.xlsx,8
200601,PIURA-SULLANA-SULLANA.xlsx,7
211101,PUNO-SAN_ROMAN-JULIACA.xlsx,19
230110,TACNA-TACNA-CORONEL_GREGORIO_ALBARRACIN_LANCHIPA.xlsx,11
