ubigeo_gestor,archivo_rel,n_filas
010101,ZonasEscolares\excels\AMAZONAS-CHACHAPOYAS-CHACHAPOYAS.xlsx,15
020105,ZonasEscolares\excels\ANCASH-HUARAZ-INDEPENDENCIA.xlsx,32
020601,ZonasEscolares\excels\ANCASH-CARHUAZ-CARHUAZ.xlsx,13
021601,ZonasEscolares\excels\ANCASH-POMABAMBA-POMABAMBA.xlsx,4
021801,ZonasEscolares\excels\ANCASH-SANTA-CHIMBOTE.xlsx,69
021809,ZonasEscolares\excels\ANCASH-SANTA-NUEVO_CHIMBOTE.xlsx,46
030101,ZonasEscolares\excels\APURIMAC-ABANCAY-ABANCAY.xlsx,30
030601,ZonasEscolares\excels\APURIMAC-CHINCHEROS-CHINCHEROS.xlsx,8
040101,ZonasEscolares\excels\AREQUIPA-AREQUIPA-AREQUIPA.xlsx,87
040102,ZonasEscolares\excels\AREQUIPA-AREQUIPA-ALTO_SELVA_ALEGRE.xlsx,19
040103,ZonasEscolares\excels\AREQUIPA-AREQUIPA-CAYMA.xlsx,32
040104,ZonasEscolares\excels\AREQUIPA-AREQUIPA-CERRO_COLORADO.xlsx,84
040107,ZonasEscolares\excels\AREQUIPA-AREQUIPA-JACOBO_HUNTER.xlsx,17
040108,ZonasEscolares\excels\AREQUIPA-AREQUIPA-LA_JOYA.xlsx,11
040109,ZonasEscolares\excels\AREQUIPA-AREQUIPA-MARIANO_MELGAR.xlsx,19
040110,ZonasEscolares\excels\AREQUIPA-AREQUIPA-MIRAFLORES.xlsx,20
040112,ZonasEscolares\excels\AREQUIPA-AREQUIPA-PAUCARPATA.xlsx,40
040122,ZonasEscolares\excels\AREQUIPA-AREQUIPA-SOCABAYA.xlsx,20
040126,ZonasEscolares\excels\AREQUIPA-AREQUIPA-YANAHUARA.xlsx,5
040128,ZonasEscolares\excels\AREQUIPA-AREQUIPA-YURA.xlsx,12
040129,ZonasEscolares\excels\AREQUIPA-AREQUIPA-JOSE_LUIS_BUSTAMANTE_Y_RIVERO.xlsx,28
040520,ZonasEscolares\excels\AREQUIPA-CAYLLOMA-MAJES.xlsx,39
050101,ZonasEscolares\excels\AYACUCHO-HUAMANGA-AYACUCHO.xlsx,50
050104,ZonasEscolares\excels\AYACUCHO-HUAMANGA-CARMEN_ALTO.xlsx,12
050110,ZonasEscolares\excels\AYACUCHO-HUAMANGA-SAN_JUAN_BAUTISTA.xlsx,15
050401,ZonasEscolares\excels\AYACUCHO-HUANTA-HUANTA.xlsx,15
060101,ZonasEscolares\excels\CAJAMARCA-CAJAMARCA-CAJAMARCA.xlsx,108
060108,ZonasEscolares\excels\CAJAMARCA-CAJAMARCA-LOS_BAÑOS_DEL_INCA.xlsx,10
060301,ZonasEscolares\excels\CAJAMARCA-CELENDIN-CELENDIN.xlsx,7
060401,ZonasEscolares\excels\CAJAMARCA-CHOTA-CHOTA.xlsx,16
060501,ZonasEscolares\excels\CAJAMARCA-CONTUMAZA-CONTUMAZA.xlsx,6
060601,ZonasEscolares\excels\CAJAMARCA-CUTERVO-CUTERVO.xlsx,17
060801,ZonasEscolares\excels\CAJAMARCA-JAEN-JAEN.xlsx,49
060901,ZonasEscolares\excels\CAJAMARCA-SAN_IGNACIO-SAN_IGNACIO.xlsx,27
061001,ZonasEscolares\excels\CAJAMARCA-SAN_MARCOS-PEDRO_GALVEZ.xlsx,13
061101,ZonasEscolares\excels\CAJAMARCA-SAN_MIGUEL-SAN_MIGUEL.xlsx,4
070101,ZonasEscolares\excels\CALLAO-CALLAO-CALLAO.xlsx,150
070102,ZonasEscolares\excels\CALLAO-CALLAO-BELLAVISTA.xlsx,28
070103,ZonasEscolares\excels\CALLAO-CALLAO-CARMEN_DE_LA_LEGUA_REYNOSO.xlsx,15
070106,ZonasEscolares\excels\CALLAO-CALLAO-VENTANILLA.xlsx,115
070107,ZonasEscolares\excels\CALLAO-CALLAO-MI_PERU.xlsx,17
080101,ZonasEscolares\excels\CUSCO-CUSCO-CUSCO.xlsx,62
080104,ZonasEscolares\excels\CUSCO-CUSCO-SAN_JERONIMO.xlsx,22
080105,ZonasEscolares\excels\CUSCO-CUSCO-SAN_SEBASTIAN.xlsx,22
080106,ZonasEscolares\excels\CUSCO-CUSCO-SANTIAGO.xlsx,23
080108,ZonasEscolares\excels\CUSCO-CUSCO-WANCHAQ.xlsx,24
080601,ZonasEscolares\excels\CUSCO-CANCHIS-SICUANI.xlsx,19
080801,ZonasEscolares\excels\CUSCO-ESPINAR-ESPINAR.xlsx,17
080901,ZonasEscolares\excels\CUSCO-LA_CONVENCION-SANTA_ANA.xlsx,21
081101,ZonasEscolares\excels\CUSCO-PAUCARTAMBO-PAUCARTAMBO.xlsx,4
090101,ZonasEscolares\excels\HUANCAVELICA-HUANCAVELICA-HUANCAVELICA.xlsx,19
090118,ZonasEscolares\excels\HUANCAVELICA-HUANCAVELICA-ASCENSION.xlsx,7
100101,ZonasEscolares\excels\HUANUCO-HUANUCO-HUANUCO.xlsx,61
100601,ZonasEscolares\excels\HUANUCO-LEONCIO_PRADO-RUPA-RUPA.xlsx,20
100604,ZonasEscolares\excels\HUANUCO-LEONCIO_PRADO-JOSE_CRESPO_Y_CASTILLO.xlsx,6
110101,ZonasEscolares\excels\ICA-ICA-ICA.xlsx,90
110102,ZonasEscolares\excels\ICA-ICA-LA_TINGUIÑA.xlsx,8
110106,ZonasEscolares\excels\ICA-ICA-PARCONA.xlsx,16
110108,ZonasEscolares\excels\ICA-ICA-SALAS.xlsx,7
110111,ZonasEscolares\excels\ICA-ICA-SANTIAGO.xlsx,7
110207,ZonasEscolares\excels\ICA-CHINCHA-PUEBLO_NUEVO.xlsx,18
110501,ZonasEscolares\excels\ICA-PISCO-PISCO.xlsx,31
110506,ZonasEscolares\excels\ICA-PISCO-SAN_ANDRES.xlsx,9
110507,ZonasEscolares\excels\ICA-PISCO-SAN_CLEMENTE.xlsx,13
120101,ZonasEscolares\excels\JUNIN-HUANCAYO-HUANCAYO.xlsx,82
120107,ZonasEscolares\excels\JUNIN-HUANCAYO-CHILCA.xlsx,25
120114,ZonasEscolares\excels\JUNIN-HUANCAYO-EL_TAMBO.xlsx,52
120301,ZonasEscolares\excels\JUNIN-CHANCHAMAYO-CHANCHAMAYO.xlsx,19
120401,ZonasEscolares\excels\JUNIN-JAUJA-JAUJA.xlsx,14
120601,ZonasEscolares\excels\JUNIN-SATIPO-SATIPO.xlsx,19
120606,ZonasEscolares\excels\JUNIN-SATIPO-PANGOA.xlsx,12
120701,ZonasEscolares\excels\JUNIN-TARMA-TARMA.xlsx,26
120901,ZonasEscolares\excels\JUNIN-CHUPACA-CHUPACA.xlsx,25
130101,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-TRUJILLO.xlsx,148
130102,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-EL_PORVENIR.xlsx,32
130103,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-FLORENCIA_DE_MORA.xlsx,17
130105,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-LA_ESPERANZA.xlsx,54
130106,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-LAREDO.xlsx,13
130107,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-MOCHE.xlsx,4
130109,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-SALAVERRY.xlsx,13
130111,ZonasEscolares\excels\LA_LIBERTAD-TRUJILLO-VICTOR_LARCO_HERRERA.xlsx,18
130207,ZonasEscolares\excels\LA_LIBERTAD-ASCOPE-SANTIAGO_DE_CAO.xlsx,8
130401,ZonasEscolares\excels\LA_LIBERTAD-CHEPEN-CHEPEN.xlsx,23
130402,ZonasEscolares\excels\LA_LIBERTAD-CHEPEN-PACANGA.xlsx,7
130601,ZonasEscolares\excels\LA_LIBERTAD-OTUZCO-OTUZCO.xlsx,10
130702,ZonasEscolares\excels\LA_LIBERTAD-PACASMAYO-GUADALUPE.xlsx,14
130704,ZonasEscolares\excels\LA_LIBERTAD-PACASMAYO-PACASMAYO.xlsx,8
130801,ZonasEscolares\excels\LA_LIBERTAD-PATAZ-TAYABAMBA.xlsx,13
130809,ZonasEscolares\excels\LA_LIBERTAD-PATAZ-PATAZ.xlsx,5
130901,ZonasEscolares\excels\LA_LIBERTAD-SANCHEZ_CARRION-HUAMACHUCO.xlsx,39
131201,ZonasEscolares\excels\LA_LIBERTAD-VIRU-VIRU.xlsx,41
131202,ZonasEscolares\excels\LA_LIBERTAD-VIRU-CHAO.xlsx,13
140101,ZonasEscolares\excels\LAMBAYEQUE-CHICLAYO-CHICLAYO.xlsx,103
140105,ZonasEscolares\excels\LAMBAYEQUE-CHICLAYO-JOSE_LEONARDO_ORTIZ.xlsx,34
140106,ZonasEscolares\excels\LAMBAYEQUE-CHICLAYO-LA_VICTORIA.xlsx,23
140116,ZonasEscolares\excels\LAMBAYEQUE-CHICLAYO-CAYALTI.xlsx,5
140118,ZonasEscolares\excels\LAMBAYEQUE-CHICLAYO-POMALCA.xlsx,8
140201,ZonasEscolares\excels\LAMBAYEQUE-FERREÑAFE-FERREÑAFE.xlsx,22
140301,ZonasEscolares\excels\LAMBAYEQUE-LAMBAYEQUE-LAMBAYEQUE.xlsx,45
140306,ZonasEscolares\excels\LAMBAYEQUE-LAMBAYEQUE-MORROPE.xlsx,21
140308,ZonasEscolares\excels\LAMBAYEQUE-LAMBAYEQUE-OLMOS.xlsx,21
150101,ZonasEscolares\excels\LIMA-LIMA-LIMA.xlsx,661
150103,ZonasEscolares\excels\LIMA-LIMA-ATE.xlsx,192
150104,ZonasEscolares\excels\LIMA-LIMA-BARRANCO.xlsx,19
